id,description,title,sequence,survey_id/id
survey_page_24,"<img class=""img img-responsive"" src=""/website/image?max_height=768&amp;field=datas&amp;model=ir.attachment&amp;id=33&amp;max_width=1024"" style=""background-color: rgba(200, 200, 200, 0.137255); margin: 0px auto;"">","5) Al observar un dado, los números 1 y 6, están en caras paralelas, lo mismo que el 3 y 4 y el 5 y 2. Indicar cuál de las opciones es correcta.",14,survey_survey_6
survey_page_11,,Preguntas,14,survey_survey_5
survey_page_25,"<img class=""img img-responsive"" src=""/website/image?max_height=768&amp;field=datas&amp;model=ir.attachment&amp;id=34&amp;max_width=1024"" style=""background-color: rgba(200, 200, 200, 0.137255); margin: 0px auto;"">",6) En la siguiente ecuación:,15,survey_survey_6
survey_page_12,,Preguntas,15,survey_survey_5
survey_page_13,,Preguntas,16,survey_survey_5
survey_page_14,,Preguntas,17,survey_survey_5
survey_page_15,,Preguntas,18,survey_survey_5
survey_page_16,,Preguntas,19,survey_survey_5
survey_page_17,,Preguntas,20,survey_survey_5
survey_page_18,,Preguntas,21,survey_survey_5
survey_page_19,,Preguntas,22,survey_survey_5
